season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,matches,wins,draws,losses
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,14,8,4,2
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,14,8,3,3
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,14,7,3,4
1999,50064,POR,Porto,Porto,Portugal,Portugal,14,7,2,5
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,12,5,2,5
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,12,4,5,3
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,12,4,5,3
1999,52748,MAR,Marseille,Marseille,France,Francia,12,4,2,6
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,12,3,7,2
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,12,3,5,4
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,12,3,3,6
1999,5451,HER,Hertha,Hertha,Germany,Alemania,12,2,4,6
1999,52280,ARS,Arsenal,Arsenal,England,Inglaterra,6,2,2,2
1999,50121,RAN,Rangers,Rangers,Scotland,Escocia,6,2,1,3
1999,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,6,2,1,3
1999,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,2,1,3
1999,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,6,2,0,4
1999,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,6,1,4,1
1999,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,6,1,3,2
1999,50058,MIL,Milan,Milan,Italy,Italia,6,1,3,2
1999,52819,BOA,Boavista,Boavista,Portugal,Portugal,6,1,2,3
1999,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,6,1,2,3
1999,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,6,1,2,3
1999,57490,MRB,Maribor,Maribor,Slovenia,Eslovenia,6,1,1,4
1999,50062,PSV,PSV,PSV,Netherlands,Holanda,6,1,1,4
1999,50142,MOL,Molde,Molde,Norway,Noruega,6,1,0,5
1999,52987,WIL,Willem II,Willem II,Netherlands,Holanda,6,0,2,4
1999,52341,AIK,AIK,AIK,Sweden,Suecia,6,0,1,5
2000,50037,BAY,Bayern München,Bayern München,Germany,Alemania,17,11,4,2
2000,52268,VAL,Valencia,Valencia,Spain,España,17,9,6,2
2000,50051,RMA,Real Madrid,Real Madrid,Spain,España,16,9,2,5
2000,53361,LEE,Leeds,Leeds,England,Inglaterra,16,6,5,5
2000,52280,ARS,Arsenal,Arsenal,England,Inglaterra,14,7,3,4
2000,59044,DEP,Deportivo,Deportivo,Spain,España,14,6,5,3
2000,52682,MUN,Man Utd,Man Utd,England,Inglaterra,14,6,4,4
2000,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,14,6,3,5
2000,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,12,6,0,6
2000,52973,LAZ,Lazio,Lazio,Italy,Italia,12,5,3,4
2000,5312,LYO,Lyon,Lyon,France,Francia,12,5,2,5
2000,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,12,5,1,6
2000,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,12,5,1,6
2000,50058,MIL,Milan,Milan,Italy,Italia,12,4,6,2
2000,52747,PSG,Paris,Paris,France,Francia,12,4,3,5
2000,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,12,2,4,6
2000,50062,PSV,PSV,PSV,Netherlands,Holanda,6,3,0,3
2000,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,3,0,3
2000,50121,RAN,Rangers,Rangers,Scotland,Escocia,6,2,2,2
2000,50080,BAR,Barcelona,Barcelona,Spain,España,6,2,2,2
2000,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6,2,1,3
2000,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,6,2,1,3
2000,50023,MON,Monaco,Monaco,France,Francia,6,2,1,3
2000,52707,SHK,Shakhtar,Shakhtar,Ukraine,Ucrania,6,2,0,4
2000,52167,HSV,Hamburg,Hamburg,Germany,Alemania,6,1,3,2
2000,50139,JUV,Juventus,Juventus,Italy,Italia,6,1,3,2
2000,60401,HEL,Helsingborg,Helsingborg,Sweden,Suecia,6,1,2,3
2000,59862,HVN,Heerenveen,Heerenveen,Netherlands,Holanda,6,1,1,4
2000,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,6,1,1,4
2000,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,6,1,1,4
2000,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,6,1,0,5
2000,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,6,0,2,4
2001,50051,RMA,Real Madrid,Real Madrid,Spain,España,17,12,3,2
2001,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,17,8,3,6
2001,52682,MUN,Man Utd,Man Utd,England,Inglaterra,16,8,6,2
2001,50080,BAR,Barcelona,Barcelona,Spain,España,16,8,4,4
2001,50037,BAY,Bayern München,Bayern München,Germany,Alemania,14,8,5,1
2001,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,14,7,2,5
2001,7889,LIV,Liverpool,Liverpool,England,Inglaterra,14,5,7,2
2001,59044,DEP,Deportivo,Deportivo,Spain,España,14,5,5,4
2001,50139,JUV,Juventus,Juventus,Italy,Italia,12,5,3,4
2001,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,12,5,2,5
2001,52280,ARS,Arsenal,Arsenal,England,Inglaterra,12,5,1,6
2001,50064,POR,Porto,Porto,Portugal,Portugal,12,4,2,6
2001,50137,ROM,Roma,Roma,Italy,Italia,12,3,7,2
2001,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,12,3,6,3
2001,52819,BOA,Boavista,Boavista,Portugal,Portugal,12,3,4,5
2001,52693,NAN,Nantes,Nantes,France,Francia,12,3,4,5
2001,5312,LYO,Lyon,Lyon,France,Francia,6,3,0,3
2001,53044,MAL,Mallorca,Mallorca,Spain,España,6,3,0,3
2001,50050,CEL,Celtic,Celtic,Scotland,Escocia,6,3,0,3
2001,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,6,2,2,2
2001,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,6,2,1,3
2001,50062,PSV,PSV,PSV,Netherlands,Holanda,6,2,1,3
2001,57388,SCH,Schalke,Schalke,Germany,Alemania,6,2,0,4
2001,52973,LAZ,Lazio,Lazio,Italy,Italia,6,2,0,4
2001,75797,LIL,Lille,Lille,France,Francia,6,1,3,2
2001,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,6,1,2,3
2001,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,1,2,3
2001,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6,1,1,4
2001,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,6,1,1,4
2001,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,6,0,3,3
2001,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,6,0,2,4
2001,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,6,0,0,6
2002,50058,MIL,Milan,Milan,Italy,Italia,17,9,4,4
2002,50139,JUV,Juventus,Juventus,Italy,Italia,17,8,4,5
2002,50138,INT,Inter,Inter,Italy,Italia,16,7,6,3
2002,50051,RMA,Real Madrid,Real Madrid,Spain,España,16,7,5,4
2002,50080,BAR,Barcelona,Barcelona,Spain,España,14,11,2,1
2002,52682,MUN,Man Utd,Man Utd,England,Inglaterra,14,10,1,3
2002,52268,VAL,Valencia,Valencia,Spain,España,14,8,4,2
2002,50143,AJX,Ajax,Ajax,Netherlands,Holanda,14,3,8,3
2002,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,12,6,2,4
2002,59044,DEP,Deportivo,Deportivo,Spain,España,12,6,1,5
2002,59324,NEW,Newcastle,Newcastle,England,Inglaterra,12,5,1,6
2002,52280,ARS,Arsenal,Arsenal,England,Inglaterra,12,4,5,3
2002,59856,BSL,Basel,Basel,Switzerland,Suiza,12,4,4,4
2002,50137,ROM,Roma,Roma,Italy,Italia,12,3,5,4
2002,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,12,3,0,9
2002,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,12,2,2,8
2002,7889,LIV,Liverpool,Liverpool,England,Inglaterra,6,2,2,2
2002,5312,LYO,Lyon,Lyon,France,Francia,6,2,2,2
2002,52277,LEN,Lens,Lens,France,Francia,6,2,2,2
2002,59045,MHA,Maccabi Haifa,Maccabi Haifa,Israel,Israel,6,2,1,3
2002,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,6,2,1,3
2002,52269,AJA,Auxerre,Auxerre,France,Francia,6,2,1,3
2002,50062,PSV,PSV,PSV,Netherlands,Holanda,6,1,3,2
2002,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,6,1,2,3
2002,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,6,1,2,3
2002,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,6,1,1,4
2002,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,1,1,4
2002,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,6,0,6,0
2002,61582,GEN,Genk,Genk,Belgium,Bélgica,6,0,4,2
2002,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6,0,4,2
2002,50037,BAY,Bayern München,Bayern München,Germany,Alemania,6,0,2,4
