season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,disciplinary__fouls_committed,disciplinary__fouls_suffered,disciplinary__yellow_cards,disciplinary__red_cards,disciplinary__matches_appearance
1993,50044,LSO,Levski Sofia,Levski Sofia,Bulgaria,Bulgaria,,,5.0,1.0,4
1993,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,5.0,1.0,2
1993,52341,AIK,AIK,AIK,Sweden,Suecia,,,5.0,,2
1993,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,5.0,,2
1993,50161,DMI,Dinamo-Minsk,Dinamo-Minsk,Belarus,Bielorrusia,,,5.0,,2
1993,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,4.0,1.0,4
1993,52709,CPH,Copenhagen,Copenhagen,Denmark,Dinamarca,,,4.0,,4
1993,50134,LIN,Linfield,Linfield,Northern Ireland,Irlanda del Norte,,,4.0,,2
1993,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,3.0,,2
1993,50135,AKR,ÍA,ÍA,Iceland,Islandia,,,3.0,,2
1993,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,3.0,,2
1993,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,2.0,,4
1993,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,2.0,,2
1993,52803,COR,Cork,Cork,Republic of Ireland,República de Irlanda,,,2.0,,2
1993,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,2.0,,2
1993,50092,FLO,Floriana,Floriana,Malta,Malta,,,2.0,,2
1993,50035,AAR,Aarau,Aarau,Switzerland,Suiza,,,2.0,,2
1993,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,1.0,,4
1993,50052,HJK,HJK,HJK,Finland,Finlandia,,,1.0,,2
1993,59034,BEI,Beitar,Beitar,Israel,Israel,,,,,2
1993,50054,HON,Honvéd,Honvéd,Hungary,Hungría,,,,,2
1994,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,19.0,1.0,10
1994,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,18.0,2.0,6
1994,52359,HAJ,Hajduk Split,Hajduk Split,Croatia,Croacia,,,18.0,1.0,8
1994,50058,MIL,Milan,Milan,Italy,Italia,,,17.0,,11
1994,52747,PSG,Paris,Paris,France,Francia,,,17.0,,10
1994,50147,BEN,Benfica,Benfica,Portugal,Portugal,,,13.0,,8
1994,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,12.0,1.0,6
1994,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,11.0,1.0,6
1994,50080,BAR,Barcelona,Barcelona,Spain,España,,,11.0,,8
1994,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,10.0,1.0,6
1994,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,10.0,,11
1994,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,8.0,1.0,6
1994,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,8.0,,8
1994,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,8.0,,6
1994,50030,SAL,Salzburg,Salzburg,Austria,Austria,,,8.0,,6
1994,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,5.0,2.0,6
1995,52693,NAN,Nantes,Nantes,France,Francia,,,24.0,2.0,10
1995,50139,JUV,Juventus,Juventus,Italy,Italia,,,23.0,1.0,11
1995,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,17.0,,11
1995,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,15.0,2.0,10
1995,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,15.0,1.0,8
1995,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,14.0,,8
1995,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,,13.0,1.0,6
1995,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,,11.0,,6
1995,54186,AAL,AaB,AaB,Denmark,Dinamarca,,,10.0,2.0,6
1995,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,10.0,1.0,8
1995,50064,POR,Porto,Porto,Portugal,Portugal,,,10.0,,6
1995,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,9.0,3.0,6
1995,50146,LEG,Legia Warszawa,Legia Warszawa,Poland,Polonia,,,9.0,1.0,8
1995,53344,BLA,Blackburn,Blackburn,England,Inglaterra,,,7.0,2.0,6
1995,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,7.0,2.0,6
1995,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,5.0,,6
1996,50124,ATM,Atleti,Atleti,Spain,España,,,24.0,,8
1996,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,21.0,1.0,11
1996,50064,POR,Porto,Porto,Portugal,Portugal,,,18.0,,8
1996,52269,AJA,Auxerre,Auxerre,France,Francia,,,17.0,,8
1996,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,14.0,1.0,6
1996,50139,JUV,Juventus,Juventus,Italy,Italia,,,14.0,,11
1996,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,13.0,1.0,6
1996,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,,13.0,,6
1996,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,12.0,,10
1996,50058,MIL,Milan,Milan,Italy,Italia,,,12.0,,6
1996,50042,RAP,SK Rapid,SK Rapid,Austria,Austria,,,12.0,,6
1996,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,11.0,,10
1996,52752,WID,Widzew,Widzew,Poland,Polonia,,,10.0,,6
1996,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,6.0,2.0,8
1996,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,,,4.0,,6
1996,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,3.0,1.0,6
1997,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,22.0,3.0,8
1997,50139,JUV,Juventus,Juventus,Italy,Italia,,,19.0,2.0,11
1997,50064,POR,Porto,Porto,Portugal,Portugal,,,18.0,1.0,6
1997,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,18.0,,11
1997,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,16.0,,10
1997,50023,MON,Monaco,Monaco,France,Francia,,,16.0,,10
1997,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,16.0,,6
1997,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,14.0,1.0,6
1997,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,14.0,,6
1997,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,,13.0,2.0,6
1997,50080,BAR,Barcelona,Barcelona,Spain,España,,,12.0,2.0,6
1997,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,12.0,2.0,6
1997,54262,PAR,Parma,Parma,Italy,Italia,,,12.0,,6
1997,50062,PSV,PSV,PSV,Netherlands,Holanda,,,11.0,3.0,6
1997,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,11.0,,8
1997,8404,LIE,Lierse,Lierse,Belgium,Bélgica,,,11.0,,6
1997,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,11.0,,6
1997,52747,PSG,Paris,Paris,France,Francia,,,10.0,1.0,6
1997,59324,NEW,Newcastle,Newcastle,England,Inglaterra,,,10.0,,6
1997,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,8.0,1.0,6
1997,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,8.0,,8
1997,59029,KOS,Košice,Košice,Slovakia,Eslovaquia,,,7.0,,6
1997,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,6.0,,6
1997,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,5.0,,8
1998,50139,JUV,Juventus,Juventus,Italy,Italia,,,23.0,1.0,10
1998,50138,INT,Inter,Inter,Italy,Italia,,,21.0,1.0,8
1998,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,20.0,1.0,8
1998,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,20.0,,11
1998,50062,PSV,PSV,PSV,Netherlands,Holanda,,,19.0,1.0,6
1998,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,16.0,1.0,6
1998,50064,POR,Porto,Porto,Portugal,Portugal,,,16.0,,6
1998,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,15.0,,8
1998,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,14.0,1.0,11
1998,3695,KAI,Kaiserslautern,Kaiserslautern,Germany,Alemania,,,13.0,2.0,8
1998,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,13.0,,6
1998,50147,BEN,Benfica,Benfica,Portugal,Portugal,,,12.0,1.0,6
1998,50125,ATH,Athletic Club,Athletic Club,Spain,España,,,11.0,1.0,6
1998,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,11.0,,6
1998,50021,BRO,Brøndby,Brøndby,Denmark,Dinamarca,,,11.0,,6
1998,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,10.0,1.0,6
1998,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,10.0,,6
1998,52277,LEN,Lens,Lens,France,Francia,,,9.0,2.0,6
1998,50080,BAR,Barcelona,Barcelona,Spain,España,,,9.0,1.0,6
1998,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,9.0,,10
1998,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,8.0,1.0,6
1998,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,8.0,,6
1998,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,8.0,,6
1998,50052,HJK,HJK,HJK,Finland,Finlandia,,,8.0,,6
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,,,33.0,1.0,14
1999,52268,VAL,Valencia,Valencia,Spain,España,,,33.0,,17
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,,,30.0,1.0,12
1999,50064,POR,Porto,Porto,Portugal,Portugal,,,26.0,1.0,14
1999,5451,HER,Hertha,Hertha,Germany,Alemania,,,26.0,1.0,12
1999,50058,MIL,Milan,Milan,Italy,Italia,,,23.0,,6
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,22.0,1.0,17
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,22.0,1.0,16
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,21.0,1.0,12
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,21.0,1.0,12
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,,,20.0,3.0,12
1999,50080,BAR,Barcelona,Barcelona,Spain,España,,,20.0,,16
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,20.0,,14
1999,52748,MAR,Marseille,Marseille,France,Francia,,,17.0,4.0,12
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,,,17.0,2.0,14
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,15.0,1.0,12
1999,52987,WIL,Willem II,Willem II,Netherlands,Holanda,,,15.0,1.0,6
1999,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,15.0,1.0,6
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,14.0,,12
1999,52819,BOA,Boavista,Boavista,Portugal,Portugal,,,13.0,2.0,6
1999,57490,MRB,Maribor,Maribor,Slovenia,Eslovenia,,,13.0,1.0,6
1999,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,13.0,,6
1999,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,12.0,4.0,6
1999,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,12.0,1.0,6
1999,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,11.0,1.0,6
1999,50062,PSV,PSV,PSV,Netherlands,Holanda,,,10.0,1.0,6
1999,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,10.0,,6
1999,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,10.0,,6
1999,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,9.0,,6
1999,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,9.0,,6
1999,52341,AIK,AIK,AIK,Sweden,Suecia,,,3.0,,6
1999,50142,MOL,Molde,Molde,Norway,Noruega,,,3.0,,6
2000,52268,VAL,Valencia,Valencia,Spain,España,,,37.0,,17
2000,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,35.0,4.0,14
2000,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,32.0,1.0,17
2000,52973,LAZ,Lazio,Lazio,Italy,Italia,,,27.0,1.0,12
2000,50058,MIL,Milan,Milan,Italy,Italia,,,27.0,1.0,12
2000,53361,LEE,Leeds,Leeds,England,Inglaterra,,,25.0,1.0,16
2000,5312,LYO,Lyon,Lyon,France,Francia,,,25.0,1.0,12
2000,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,25.0,,16
2000,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,25.0,,14
2000,52747,PSG,Paris,Paris,France,Francia,,,23.0,1.0,12
2000,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,22.0,,12
2000,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,21.0,2.0,12
2000,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,21.0,,12
2000,50139,JUV,Juventus,Juventus,Italy,Italia,,,19.0,5.0,6
2000,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,18.0,1.0,6
2000,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,18.0,,14
2000,59044,DEP,Deportivo,Deportivo,Spain,España,,,17.0,,14
2000,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,16.0,,12
2000,50023,MON,Monaco,Monaco,France,Francia,,,12.0,3.0,6
2000,50062,PSV,PSV,PSV,Netherlands,Holanda,,,12.0,1.0,6
2000,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,11.0,1.0,6
2000,52707,SHK,Shakhtar,Shakhtar,Ukraine,Ucrania,,,10.0,1.0,6
2000,59862,HVN,Heerenveen,Heerenveen,Netherlands,Holanda,,,9.0,1.0,6
2000,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,9.0,1.0,6
2000,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,,9.0,1.0,6
2000,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,9.0,,6
2000,60401,HEL,Helsingborg,Helsingborg,Sweden,Suecia,,,8.0,,6
2000,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,8.0,,6
2000,50080,BAR,Barcelona,Barcelona,Spain,España,,,8.0,,6
2000,52167,HSV,Hamburg,Hamburg,Germany,Alemania,,,7.0,,6
2000,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,4.0,1.0,6
2000,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,4.0,,6
2001,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,283,366,30.0,,17
2001,50080,BAR,Barcelona,Barcelona,Spain,España,273,268,33.0,,16
2001,50139,JUV,Juventus,Juventus,Italy,Italia,265,215,29.0,2.0,12
2001,52819,BOA,Boavista,Boavista,Portugal,Portugal,261,248,27.0,,12
2001,50064,POR,Porto,Porto,Portugal,Portugal,258,216,24.0,1.0,12
2001,52682,MUN,Man Utd,Man Utd,England,Inglaterra,257,211,18.0,,16
2001,50051,RMA,Real Madrid,Real Madrid,Spain,España,256,300,25.0,,17
2001,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,248,290,24.0,,14
2001,50137,ROM,Roma,Roma,Italy,Italia,244,229,19.0,,12
2001,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,240,245,24.0,2.0,12
2001,7889,LIV,Liverpool,Liverpool,England,Inglaterra,230,198,16.0,,14
2001,59044,DEP,Deportivo,Deportivo,Spain,España,220,270,25.0,2.0,14
2001,52693,NAN,Nantes,Nantes,France,Francia,220,219,21.0,1.0,12
2001,50037,BAY,Bayern München,Bayern München,Germany,Alemania,207,242,16.0,1.0,14
2001,52280,ARS,Arsenal,Arsenal,England,Inglaterra,200,191,16.0,3.0,12
2001,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,198,207,8.0,1.0,12
2001,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,126,105,17.0,1.0,6
2001,75797,LIL,Lille,Lille,France,Francia,122,92,6.0,,6
2001,52973,LAZ,Lazio,Lazio,Italy,Italia,121,97,12.0,,6
2001,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,120,91,8.0,,6
2001,57388,SCH,Schalke,Schalke,Germany,Alemania,117,89,16.0,,6
2001,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,114,86,12.0,3.0,6
2001,50050,CEL,Celtic,Celtic,Scotland,Escocia,111,129,6.0,,6
2001,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,108,105,7.0,,6
2001,50062,PSV,PSV,PSV,Netherlands,Holanda,107,113,7.0,,6
2001,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,100,97,8.0,,6
2001,5312,LYO,Lyon,Lyon,France,Francia,99,125,7.0,1.0,6
2001,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,98,98,8.0,1.0,6
2001,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,96,121,11.0,1.0,6
2001,53044,MAL,Mallorca,Mallorca,Spain,España,89,96,11.0,1.0,6
2001,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,84,85,9.0,,6
2001,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,69,97,8.0,,6
2002,50139,JUV,Juventus,Juventus,Italy,Italia,317,303,36.0,1.0,17
2002,50143,AJX,Ajax,Ajax,Netherlands,Holanda,288,231,33.0,3.0,14
2002,50137,ROM,Roma,Roma,Italy,Italia,283,213,27.0,1.0,12
2002,50058,MIL,Milan,Milan,Italy,Italia,278,298,23.0,,17
2002,50138,INT,Inter,Inter,Italy,Italia,252,272,33.0,3.0,16
2002,52268,VAL,Valencia,Valencia,Spain,España,251,268,27.0,3.0,14
2002,59324,NEW,Newcastle,Newcastle,England,Inglaterra,244,173,11.0,1.0,12
2002,50080,BAR,Barcelona,Barcelona,Spain,España,229,232,26.0,,14
2002,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,222,162,27.0,1.0,12
2002,50051,RMA,Real Madrid,Real Madrid,Spain,España,204,282,17.0,,16
2002,52682,MUN,Man Utd,Man Utd,England,Inglaterra,202,149,26.0,,14
2002,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,192,229,23.0,,12
2002,52280,ARS,Arsenal,Arsenal,England,Inglaterra,180,223,11.0,1.0,12
2002,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,179,179,17.0,,12
2002,59856,BSL,Basel,Basel,Switzerland,Suiza,165,173,11.0,,12
2002,59044,DEP,Deportivo,Deportivo,Spain,España,158,210,15.0,,12
2002,52277,LEN,Lens,Lens,France,Francia,137,90,7.0,,6
2002,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,134,99,15.0,,6
2002,50037,BAY,Bayern München,Bayern München,Germany,Alemania,119,115,13.0,,6
2002,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,118,79,18.0,,6
2002,50062,PSV,PSV,PSV,Netherlands,Holanda,116,71,17.0,,6
2002,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,114,116,16.0,1.0,6
2002,59045,MHA,Maccabi Haifa,Maccabi Haifa,Israel,Israel,110,73,9.0,,6
2002,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,105,84,15.0,,6
2002,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,98,88,6.0,,6
2002,61582,GEN,Genk,Genk,Belgium,Bélgica,94,62,9.0,1.0,6
2002,5312,LYO,Lyon,Lyon,France,Francia,92,115,6.0,,6
2002,52269,AJA,Auxerre,Auxerre,France,Francia,92,98,8.0,2.0,6
2002,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,91,116,7.0,,6
2002,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,90,110,4.0,,6
2002,7889,LIV,Liverpool,Liverpool,England,Inglaterra,79,97,7.0,1.0,6
2002,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,74,86,9.0,,6
2003,50064,POR,Porto,Porto,Portugal,Portugal,259,217,31.0,,13
2003,50023,MON,Monaco,Monaco,France,Francia,191,195,19.0,3.0,13
2003,59044,DEP,Deportivo,Deportivo,Spain,España,182,221,18.0,2.0,12
2003,52914,CHE,Chelsea,Chelsea,England,Inglaterra,178,162,24.0,2.0,12
2003,52280,ARS,Arsenal,Arsenal,England,Inglaterra,165,145,8.0,,10
2003,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,160,102,16.0,2.0,8
2003,50037,BAY,Bayern München,Bayern München,Germany,Alemania,156,118,21.0,1.0,8
2003,50139,JUV,Juventus,Juventus,Italy,Italia,149,110,17.0,,8
2003,50123,RSO,Real Sociedad,Real Sociedad,Spain,España,147,129,12.0,1.0,8
2003,5312,LYO,Lyon,Lyon,France,Francia,146,184,14.0,1.0,10
2003,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,138,112,6.0,,8
2003,50058,MIL,Milan,Milan,Italy,Italia,130,187,14.0,2.0,10
2003,52682,MUN,Man Utd,Man Utd,England,Inglaterra,130,107,10.0,1.0,8
2003,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,127,115,14.0,2.0,6
2003,52748,MAR,Marseille,Marseille,France,Francia,120,93,8.0,,6
2003,50143,AJX,Ajax,Ajax,Netherlands,Holanda,120,65,16.0,1.0,6
2003,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,117,128,8.0,,8
2003,50050,CEL,Celtic,Celtic,Scotland,Escocia,117,80,11.0,,6
2003,53043,CLT,Celta,Celta,Spain,España,116,148,22.0,1.0,8
2003,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,111,97,12.0,1.0,6
2003,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,109,140,14.0,1.0,6
2003,50121,RAN,Rangers,Rangers,Scotland,Escocia,109,108,9.0,,6
2003,50062,PSV,PSV,PSV,Netherlands,Holanda,107,87,13.0,1.0,6
2003,50051,RMA,Real Madrid,Real Madrid,Spain,España,106,188,14.0,,10
2003,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,104,89,12.0,1.0,6
2003,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,104,73,10.0,2.0,6
2003,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,103,115,14.0,1.0,6
2003,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,99,90,7.0,,6
2003,50162,PRT,Partizan,Partizan,Serbia,Serbia,92,83,6.0,1.0,6
2003,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,92,82,10.0,1.0,6
2003,52973,LAZ,Lazio,Lazio,Italy,Italia,88,104,13.0,1.0,6
2003,50138,INT,Inter,Inter,Italy,Italia,86,129,9.0,,6
2004,7889,LIV,Liverpool,Liverpool,England,Inglaterra,235,195,22.0,,13
2004,50062,PSV,PSV,PSV,Netherlands,Holanda,227,186,17.0,1.0,12
