season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goalkeeping__saves,goalkeeping__goals_conceded,goalkeeping__own_goal_conceded,goalkeeping__saves_on_penalty,goalkeeping__clean_sheet,goalkeeping__punches,goalkeeping__matches_appearance
1998,50052,HJK,HJK,HJK,Finland,Finlandia,,12,,,2.0,,6
1998,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,12,,,1.0,,10
1998,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,11,1.0,,5.0,,11
1998,50139,JUV,Juventus,Juventus,Italy,Italia,,11,,,2.0,,10
1998,50051,RMA,Real Madrid,Real Madrid,Spain,España,,11,,,1.0,,8
1998,50062,PSV,PSV,PSV,Netherlands,Holanda,,11,,,,,6
1998,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,9,1.0,,1.0,,6
1998,50147,BEN,Benfica,Benfica,Portugal,Portugal,,9,1.0,,,,6
1998,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,9,,,2.0,,8
1998,50080,BAR,Barcelona,Barcelona,Spain,España,,9,,,2.0,,6
1998,50064,POR,Porto,Porto,Portugal,Portugal,,9,,,2.0,,6
1998,50138,INT,Inter,Inter,Italy,Italia,,8,,,2.0,,8
1998,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,8,,,1.0,,6
1998,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,8,,,1.0,,6
1998,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,8,,,,,6
1998,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,7,,,2.0,,6
1998,50125,ATH,Athletic Club,Athletic Club,Spain,España,,6,1.0,,2.0,,6
1998,52277,LEN,Lens,Lens,France,Francia,,6,,,2.0,,6
1998,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,6,,,2.0,,6
1998,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,6,,,2.0,,6
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,,23,1.0,,6.0,,17
1999,50080,BAR,Barcelona,Barcelona,Spain,España,,23,,,3.0,,16
1999,52748,MAR,Marseille,Marseille,France,Francia,,19,,,4.0,,12
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,19,,,1.0,,16
1999,52268,VAL,Valencia,Valencia,Spain,España,,18,,,5.0,,17
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,,18,,,4.0,,12
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,18,,,4.0,,12
1999,5451,HER,Hertha,Hertha,Germany,Alemania,,18,,,1.0,,12
1999,50064,POR,Porto,Porto,Portugal,Portugal,,17,,,5.0,,14
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,16,1.0,,1.0,,12
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,16,,,3.0,,12
1999,52341,AIK,AIK,AIK,Sweden,Suecia,,16,,,1.0,,6
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,,15,,,7.0,,12
1999,52987,WIL,Willem II,Willem II,Netherlands,Holanda,,15,,,1.0,,6
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,,14,,,6.0,,14
1999,50142,MOL,Molde,Molde,Norway,Noruega,,14,,,,,6
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,13,,,4.0,,12
1999,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,13,,,,,6
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,,12,,,7.0,,14
1999,57490,MRB,Maribor,Maribor,Slovenia,Eslovenia,,12,,,2.0,,6
1999,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,12,,,1.0,,6
1999,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,12,,,1.0,,6
1999,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,12,,,,,6
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,11,,,6.0,,14
1999,52819,BOA,Boavista,Boavista,Portugal,Portugal,,10,,,1.0,,6
1999,50062,PSV,PSV,PSV,Netherlands,Holanda,,10,,,,,6
1999,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,9,,,1.0,,6
1999,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,9,,,,,6
1999,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,7,,,2.0,,6
1999,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,7,,,2.0,,6
1999,50121,RAN,Rangers,Rangers,Scotland,Escocia,,7,,,1.0,,6
1999,50058,MIL,Milan,Milan,Italy,Italia,,7,,,1.0,,6
2000,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,26,,,3.0,,12
2000,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,25,,,4.0,,12
2000,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,24,,,4.0,,14
2000,50051,RMA,Real Madrid,Real Madrid,Spain,España,,23,1.0,,4.0,,16
2000,53361,LEE,Leeds,Leeds,England,Inglaterra,,21,,,6.0,,16
2000,52747,PSG,Paris,Paris,France,Francia,,19,,,2.0,,12
2000,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,18,,,4.0,,14
