season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1993,57479,SKO,Skonto,Skonto,Latvia,Letonia,0,,,,,,,2
1993,50092,FLO,Floriana,Floriana,Malta,Malta,0,,,,,,,2
1993,50052,HJK,HJK,HJK,Finland,Finlandia,0,,,,,,,2
1993,50035,AAR,Aarau,Aarau,Switzerland,Suiza,0,,,,,,,2
1994,50143,AJX,Ajax,Ajax,Netherlands,Holanda,18,,,,,,,11
1994,52747,PSG,Paris,Paris,France,Francia,15,,,,,,,10
1994,50080,BAR,Barcelona,Barcelona,Spain,España,13,,,,,,,8
1994,50037,BAY,Bayern München,Bayern München,Germany,Alemania,12,,,,,,1.0,10
1994,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,12,,,,,,1.0,8
1994,50058,MIL,Milan,Milan,Italy,Italia,11,,,,,,,11
1994,52682,MUN,Man Utd,Man Utd,England,Inglaterra,11,,,,,,,6
1994,50147,BEN,Benfica,Benfica,Portugal,Portugal,9,,,,,,1.0,8
1994,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,8,,,,,,,6
1994,50065,FCSB,FCSB,FCSB,Romania,Rumanía,7,,,,,,,6
1994,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,5,,,,,,1.0,6
1994,52359,HAJ,Hajduk Split,Hajduk Split,Croatia,Croacia,5,,,,,,,8
1994,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,4,,,,,,,6
1994,50030,SAL,Salzburg,Salzburg,Austria,Austria,4,,,,,,,6
1994,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,3,,,,,,1.0,6
1994,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,3,,,,,,,6
1995,50143,AJX,Ajax,Ajax,Netherlands,Holanda,22,,,,,,1.0,11
1995,50139,JUV,Juventus,Juventus,Italy,Italia,22,,,,,,,11
1995,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,17,,,,,,1.0,8
1995,52693,NAN,Nantes,Nantes,France,Francia,15,,,,,,,10
1995,50051,RMA,Real Madrid,Real Madrid,Spain,España,12,,,,,,,8
1995,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,11,,,,,,1.0,6
1995,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,11,,,,,,,10
1995,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,9,,,,,,2.0,6
1995,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,8,,,,,,,8
1995,50121,RAN,Rangers,Rangers,Scotland,Escocia,6,,,,,,,6
1995,50064,POR,Porto,Porto,Portugal,Portugal,6,,,,,,,6
1995,53344,BLA,Blackburn,Blackburn,England,Inglaterra,5,,,,,,1.0,6
1995,50146,LEG,Legia Warszawa,Legia Warszawa,Poland,Polonia,5,,,,,,,8
1995,54186,AAL,AaB,AaB,Denmark,Dinamarca,5,,,,,,,6
1995,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,3,,,,,,,6
1995,50065,FCSB,FCSB,FCSB,Romania,Rumanía,2,,,,,,,6
1996,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,23,,,,,,,11
1996,50139,JUV,Juventus,Juventus,Italy,Italia,21,,,,,,2.0,11
1996,50124,ATM,Atleti,Atleti,Spain,España,15,,,,,,1.0,8
1996,50143,AJX,Ajax,Ajax,Netherlands,Holanda,14,,,,,,,10
1996,50058,MIL,Milan,Milan,Italy,Italia,13,,,,,,1.0,6
1996,50064,POR,Porto,Porto,Portugal,Portugal,12,,,,,,,8
1996,52682,MUN,Man Utd,Man Utd,England,Inglaterra,10,,,,,,,10
1996,52269,AJA,Auxerre,Auxerre,France,Francia,9,,,,,,,8
1996,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,8,,,,,,1.0,8
1996,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,8,,,,,,1.0,6
1996,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,7,,,,,,,6
1996,52752,WID,Widzew,Widzew,Poland,Polonia,6,,,,,,,6
1996,50121,RAN,Rangers,Rangers,Scotland,Escocia,5,,,,,,1.0,6
1996,50065,FCSB,FCSB,FCSB,Romania,Rumanía,5,,,,,,1.0,6
1996,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,3,,,,,,,6
1996,50042,RAP,SK Rapid,SK Rapid,Austria,Austria,2,,,,,,,6
1997,50139,JUV,Juventus,Juventus,Italy,Italia,23,,,,,,3.0,11
1997,50051,RMA,Real Madrid,Real Madrid,Spain,España,22,,,,,,4.0,11
1997,50023,MON,Monaco,Monaco,France,Francia,20,,,,,,,10
1997,52682,MUN,Man Utd,Man Utd,England,Inglaterra,15,,,,,,1.0,8
1997,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,15,,,,,,,10
1997,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,15,,,,,,,8
1997,50037,BAY,Bayern München,Bayern München,Germany,Alemania,13,,,,,,,8
1997,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,13,,,,,,,6
1997,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,12,,,,,,1.0,8
1997,52747,PSG,Paris,Paris,France,Francia,11,,,,,,1.0,6
1997,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,9,,,,,,1.0,6
1997,50062,PSV,PSV,PSV,Netherlands,Holanda,9,,,,,,,6
1997,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,8,,,,,,1.0,6
1997,59324,NEW,Newcastle,Newcastle,England,Inglaterra,7,,,,,,1.0,6
1997,50080,BAR,Barcelona,Barcelona,Spain,España,7,,,,,,,6
1997,54262,PAR,Parma,Parma,Italy,Italia,6,,,,,,,6
1997,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,6,,,,,,,6
1997,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,6,,,,,,,6
1997,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,,,,,,,6
1997,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,4,,,,,,1.0,6
1997,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,4,,,,,,,6
1997,8404,LIE,Lierse,Lierse,Belgium,Bélgica,3,,,,,,,6
1997,50064,POR,Porto,Porto,Portugal,Portugal,3,,,,,,,6
1997,59029,KOS,Košice,Košice,Slovakia,Eslovaquia,2,,,,,,,6
1998,52682,MUN,Man Utd,Man Utd,England,Inglaterra,29,,,,,,,11
1998,50037,BAY,Bayern München,Bayern München,Germany,Alemania,20,,,,,,1.0,11
1998,50051,RMA,Real Madrid,Real Madrid,Spain,España,18,,,,,,1.0,8
1998,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,17,,,,,,1.0,10
1998,50139,JUV,Juventus,Juventus,Italy,Italia,13,,,,,,,10
1998,3695,KAI,Kaiserslautern,Kaiserslautern,Germany,Alemania,12,,,,,,,8
1998,50080,BAR,Barcelona,Barcelona,Spain,España,11,,,,,,3.0,6
1998,50064,POR,Porto,Porto,Portugal,Portugal,11,,,,,,,6
1998,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,10,,,,,,1.0,8
1998,50062,PSV,PSV,PSV,Netherlands,Holanda,10,,,,,,1.0,6
1998,50138,INT,Inter,Inter,Italy,Italia,10,,,,,,,8
1998,50052,HJK,HJK,HJK,Finland,Finlandia,8,,,,,,2.0,6
1998,50147,BEN,Benfica,Benfica,Portugal,Portugal,8,,,,,,1.0,6
1998,52280,ARS,Arsenal,Arsenal,England,Inglaterra,8,,,,,,,6
1998,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,8,,,,,,,6
1998,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,7,,,,,,1.0,6
1998,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,7,,,,,,,6
1998,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,6,,,,,,,6
1998,52277,LEN,Lens,Lens,France,Francia,5,,,,,,,6
1998,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,5,,,,,,,6
1998,50125,ATH,Athletic Club,Athletic Club,Spain,España,5,,,,,,,6
1998,50143,AJX,Ajax,Ajax,Netherlands,Holanda,4,,,,,,1.0,6
1998,50021,BRO,Brøndby,Brøndby,Denmark,Dinamarca,4,,,,,,,6
1998,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,2,,,,,,,6
1999,50080,BAR,Barcelona,Barcelona,Spain,España,45,,,,,,3.0,16
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,35,,,,,,3.0,17
1999,52268,VAL,Valencia,Valencia,Spain,España,27,,,,,,3.0,17
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,26,,,,,,,14
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,25,,,,,,3.0,16
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,22,,,,,,1.0,14
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,21,,,,,,1.0,14
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,19,,,,,,4.0,12
1999,50064,POR,Porto,Porto,Portugal,Portugal,19,,,,,,,14
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,18,,,,,,3.0,12
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,17,,,,,,,12
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,16,,,,,,2.0,12
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,14,,,,,,,12
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,12,,,,,,1.0,12
1999,52748,MAR,Marseille,Marseille,France,Francia,12,,,,,,,12
1999,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,10,,,,,,2.0,6
1999,5451,HER,Hertha,Hertha,Germany,Alemania,10,,,,,,1.0,12
1999,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,9,,,,,,3.0,6
1999,52280,ARS,Arsenal,Arsenal,England,Inglaterra,9,,,,,,,6
1999,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,9,,,,,,,6
1999,52987,WIL,Willem II,Willem II,Netherlands,Holanda,7,,,,,,,6
1999,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,7,,,,,,,6
1999,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,7,,,,,,,6
1999,50121,RAN,Rangers,Rangers,Scotland,Escocia,7,,,,,,,6
1999,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,7,,,,,,,6
1999,50142,MOL,Molde,Molde,Norway,Noruega,6,,,,,,,6
1999,50058,MIL,Milan,Milan,Italy,Italia,6,,,,,,,6
1999,50062,PSV,PSV,PSV,Netherlands,Holanda,5,,,,,,2.0,6
1999,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,5,,,,,,,6
1999,52819,BOA,Boavista,Boavista,Portugal,Portugal,4,,,,,,1.0,6
1999,52341,AIK,AIK,AIK,Sweden,Suecia,4,,,,,,,6
1999,57490,MRB,Maribor,Maribor,Slovenia,Eslovenia,2,,,,,,,6
2000,50051,RMA,Real Madrid,Real Madrid,Spain,España,35,,,,,,3.0,16
2000,50037,BAY,Bayern München,Bayern München,Germany,Alemania,24,,,,,,2.0,17
2000,53361,LEE,Leeds,Leeds,England,Inglaterra,24,,,,,,1.0,16
2000,52268,VAL,Valencia,Valencia,Spain,España,23,,,,,,1.0,17
2000,52682,MUN,Man Utd,Man Utd,England,Inglaterra,22,,,,,,3.0,14
2000,52973,LAZ,Lazio,Lazio,Italy,Italia,22,,,,,,1.0,12
2000,52747,PSG,Paris,Paris,France,Francia,22,,,,,,1.0,12
2000,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,19,,,,,,3.0,14
2000,52280,ARS,Arsenal,Arsenal,England,Inglaterra,19,,,,,,1.0,14
2000,59044,DEP,Deportivo,Deportivo,Spain,España,18,,,,,,3.0,14
2000,50058,MIL,Milan,Milan,Italy,Italia,18,,,,,,2.0,12
2000,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,18,,,,,,,12
2000,5312,LYO,Lyon,Lyon,France,Francia,16,,,,,,1.0,12
2000,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,14,,,,,,1.0,12
2000,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,13,,,,,,1.0,6
2000,50080,BAR,Barcelona,Barcelona,Spain,España,13,,,,,,1.0,6
2000,50023,MON,Monaco,Monaco,France,Francia,13,,,,,,1.0,6
2000,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,13,,,,,,,12
2000,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,10,,,,,,2.0,12
2000,52707,SHK,Shakhtar,Shakhtar,Ukraine,Ucrania,10,,,,,,1.0,6
2000,50121,RAN,Rangers,Rangers,Scotland,Escocia,10,,,,,,,6
2000,52167,HSV,Hamburg,Hamburg,Germany,Alemania,9,,,,,,1.0,6
2000,50139,JUV,Juventus,Juventus,Italy,Italia,9,,,,,,1.0,6
2000,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,9,,,,,,,6
2000,50062,PSV,PSV,PSV,Netherlands,Holanda,9,,,,,,,6
2000,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,7,,,,,,,6
2000,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,6,,,,,,1.0,6
2000,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,,,,,,1.0,6
2000,60401,HEL,Helsingborg,Helsingborg,Sweden,Suecia,6,,,,,,,6
2000,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,5,,,,,,,6
2000,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,4,,,,,,1.0,6
2000,59862,HVN,Heerenveen,Heerenveen,Netherlands,Holanda,3,,,,,,,6
2001,50051,RMA,Real Madrid,Real Madrid,Spain,España,35,,,,,,2.0,17
2001,52682,MUN,Man Utd,Man Utd,England,Inglaterra,31,,,,,,4.0,16
2001,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,29,,,,,,1.0,17
2001,50080,BAR,Barcelona,Barcelona,Spain,España,23,,,,,,1.0,16
2001,50037,BAY,Bayern München,Bayern München,Germany,Alemania,21,,,,,,,14
2001,59044,DEP,Deportivo,Deportivo,Spain,España,19,,,,,,1.0,14
2001,50139,JUV,Juventus,Juventus,Italy,Italia,18,,,,,,1.0,12
2001,52280,ARS,Arsenal,Arsenal,England,Inglaterra,17,,,,,,2.0,12
2001,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,17,,,,,,1.0,14
2001,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,16,,,,,,1.0,12
2001,7889,LIV,Liverpool,Liverpool,England,Inglaterra,14,,,,,,1.0,14
2001,52693,NAN,Nantes,Nantes,France,Francia,12,,,,,,1.0,12
2001,50137,ROM,Roma,Roma,Italy,Italia,12,,,,,,1.0,12
2001,52819,BOA,Boavista,Boavista,Portugal,Portugal,10,,,,,,,12
2001,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,10,,,,,,,12
2001,50064,POR,Porto,Porto,Portugal,Portugal,10,,,,,,,12
2001,5312,LYO,Lyon,Lyon,France,Francia,10,,,,,,,6
2001,57388,SCH,Schalke,Schalke,Germany,Alemania,9,,,,,,1.0,6
2001,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,9,,,,,,,6
2001,50050,CEL,Celtic,Celtic,Scotland,Escocia,8,,,,,,2.0,6
2001,75797,LIL,Lille,Lille,France,Francia,7,,,,,,1.0,6
2001,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,7,,,,,,,6
2001,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,7,,,,,,,6
2001,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,6,,,,,,,6
